# 生成工具 https://github.com/whitewatercn/rimetool
# 生成时间 2025-02-18_11-10-12
---
'yi'xing'hu'xi'shuai'jie Ⅰ型呼吸衰竭
'ji'xing'geng'zu'xing'hou'yan 急性梗阻性喉炎
'ji'xing'guo'min'xing'fei'yan 急性过敏性肺炎
'ji'xing'ke'sou 急性咳嗽
'ji'xing'hou'qi'guan'yan 急性喉气管炎
'ji'xing'hou'yan 急性喉炎
'ji'xing'hu'xi'dao'gan'ran 急性呼吸道感染
'ji'xing'hu'xi'shuai'jie 急性呼吸衰竭
'ji'xing'hu'xi'xing'jian'zhong'du 急性呼吸性碱中毒
'ji'xing'hu'xi'xing'suan'zhong'du 急性呼吸性酸中毒
'ji'xing'hua'xue'xing'zhi'qi'guan'yan 急性化学性支气管炎
'ji'xing'hui'yan'yan 急性会厌炎
'ji'xing'jian'zhi'xing'fei'yan 急性间质性肺炎
'ji'xing'nong'xiong 急性脓胸
'ji'xing'qi'guan'yan 急性气管炎
'ji'xing'qi'guan'zhi'qi'guan'yan 急性气管-支气管炎
'ji'xing'que'jia'xing'di'jia'xue'zheng 急性缺钾性低钾血症
'ji'xing'shang'hu'xi'dao'gan'ran 急性上呼吸道感染
'ji'xing'shi'suan'xing'li'xi'bao'xing'fei'yan 急性嗜酸性粒细胞性肺炎
'ji'xing'xi'zhi'qi'guan'yan 急性细支气管炎
'ji'xing'xue'xing'bo'san'xing'fei'jie'he 急性血行播散型肺结核
'ji'xing'yan'hou'yan 急性咽喉炎
'ji'xing'yan'yan 急性咽炎
'ji'xing'yao'wu'xing'fei'bing 急性药物性肺病
'ji'xing'yi'yang'hua'tan'zhong'du 急性一氧化碳中毒
'ji'xing'zhi'qi'guan'yan 急性支气管炎
'ji'xing'zhuan'yi'xing'gao'jia'xue'zheng 急性转移性高钾血症
'ji'xing'zong'ge'yan 急性纵隔炎
'ji'fa'xing'fei'jie'he 继发型肺结核
'ji'fa'xing'fei'jie'he'bing 继发性肺结核病
'ji'fa'xing'fei'nong'zhong 继发性肺脓肿
'ji'fa'xing'shi'mian 继发性失眠
'jia'shi'qi'fei 加湿器肺
'jia'zu'xing'fei'dong'mai'gao'ya 家族性肺动脉高压
'jia'xing'liu'gan'bing'du'xing'fei'yan 甲型流感病毒性肺炎
'jia'xing'di'na'xue'zheng 假性低钠血症
'jian'zhi'xing'fei'ji'bing'ji'xing'jia'zhong 间质性肺疾病急性加重
'jian'zhi'xing'fei'qi'zhong 间质性肺气肿
'jian'zhi'xing'fei'yan 间质性肺炎
'jian'ya'bing 减压病
'jian'xue'zheng 碱血症
'jian'zhong'du 碱中毒
'jian'xie'xing'fen'liu 间歇性分流
'jiang'ye'xian'wei'dan'bai'xing'xiong'mo'yan 浆液纤维蛋白性胸膜炎
'jiao'tong'xing'qi'xiong 交通性气胸
'jie'di'zu'zhi'bing'xiang'guan'fei'gao'ya 结缔组织病相关肺高压
'jie'di'zu'zhi'bing'xiang'guan'jian'zhi'xing'fei'ji'bing 结缔组织病相关间质性肺疾病
'jie'di'zu'zhi'bing'xing'mi'man'xing'shi'zhi'xing'fei'ji'bing 结缔组织病性弥漫性实质性肺疾病
'jie'di'zu'zhi'bing'xiong'mo'yan 结缔组织病胸膜炎
'jie'he'hou'zhi'qi'guan'kuo'zhang 结核后支气管扩张
'jie'he'jie'jie 结核结节
'jie'he'jun'su'shi'yan'yi'chang 结核菌素试验异常
'jie'he'xing'bao'guo'xing'nong'xiong 结核性包裹性脓胸
'jie'he'xing'da'ka'xie 结核性大咯血
'jie'he'xing'fei'xian'wei'bian'xing 结核性肺纤维变性
'jie'he'xing'fei'yan 结核性肺炎
'jie'he'xing'qi'xiong 结核性气胸
'jie'he'xing'ru'mi'xiong 结核性乳糜胸
'jie'he'xing'sun'hui'fei 结核性损毁肺
'jie'he'xing'xiong'mo'yan 结核性胸膜炎
'jie'he'xing'zhi'qi'guan'kuo'zhang 结核性支气管扩张
'jie'he'xing'zhi'qi'guan'lin'ba'lou 结核性支气管淋巴瘘
'jie'he'xing'zhi'qi'guan'xia'zhai 结核性支气管狭窄
'jie'jie'bing 结节病
'jie'pou'fen'liu 解剖分流
'jin'run'xing'fei'jie'he 浸润性肺结核
'jing'dong'mai'xue'fen'liu 静动脉血分流
'jing'mai'xue'shuan'shuan'se'zheng 静脉血栓栓塞症
'jing'mai'yan 静脉炎
'jing'tai'fei'guo'du'chong'qi 静态肺过度充气
'ju'xian'xing'nong'xiong 局限性脓胸
'ju'xian'xing'xiong'mo'jian'pi'liu 局限性胸膜间皮瘤
'ju'da'lin'ba'jie'zeng'sheng'zheng 巨大淋巴结增生症
'ju'da'xing'fei'dong'jing'mai'ji'xing 巨大型肺动静脉畸形
'ju'qi'guan'zhi'qi'guan'zheng 巨气管支气管症
'ju'xi'bao'bing'du'fei'yan 巨细胞病毒肺炎
'ju'xi'bao'jian'zhi'xing'fei'yan 巨细胞间质性肺炎
'ju'you'zi'shen'mian'yi'te'zheng'de'jian'zhi'xing'fei'yan 具有自身免疫特征的间质性肺炎
'jun'tuan'jun'fei'yan 军团菌肺炎
'jun'tuan'jun'gan'ran 军团菌感染
'jun'xue'zheng 菌血症
'ka'fei'fei 咖啡肺
'ka'ta'ge'nei'zong'he'zheng 卡塔格内综合征
'kai'fang'shang 开放伤
'kai'fang'xing'xue'qi'xiong 开放性血气胸
'kan'sa'si'fen'zhi'gan'jun'gan'ran 堪萨斯分枝杆菌感染
'kong'tiao'fei 空调肺
'kong'qi'shuan'se 空气栓塞
'kong'dong'xing'fei'jie'he 空洞性肺結核
'kuai'su'yan'dong'shui'mian'xing'wei'zhang'ai 快速眼动睡眠行为障碍
'lai'fu'lei'zong'he'zheng 莱夫勒综合征
'lang'chuang'xing'fei'bing'bian 狼疮性肺病变
'lang'chuang'xing'fei'yan 狼疮性肺炎
'lang'ge'han'si'xi'bao'zu'zhi'xi'bao'zeng'sheng'zheng 朗格汉斯细胞组织细胞增生症
'lao'nian'xing'fei'qi'zhong 老年性肺气肿
'lei'gu'gu'zhe 肋骨骨折
'lei'gu'liang'xing'zhong'liu 肋骨良性肿瘤
'le'ruan'gu'yan 肋软骨炎
'lei'bi'ju'fei'yan 类鼻疽肺炎
'lei'feng'shi'xing'fei'bing 类风湿性肺病
'lei'zhi'xing'fei'yan 类脂性肺炎
'li'ke'ci'ti'fei'yan 立克次体肺炎
'lian'jia'xiong 连枷胸
'lin'ba'xi'bao'xing'jian'zhi'xing'fei'yan 淋巴细胞性间质性肺炎
'lin'ba'xiong'guan'sun'shang 淋巴胸管损伤
'lin'zhuang'xi'bao'ai 鳞状细胞癌
'lin'zhuang'xi'bao'ai 鳞状细胞癌
'liu'gan'bing'du'fei'yan 流感病毒肺炎
'liu'gan'shi'xue'gan'jun'fei'yan 流感嗜血杆菌肺炎
'liu'xing'xing'gan'mao 流行性感冒
'liu'xing'xing'gan'mao'xiong'mo'yan 流行性感冒胸膜炎
'liu'hua'xue'hong'dan'bai'xue'zheng 硫化血红蛋白血症
'lv'chen'fei 铝尘肺
'ma'zhen'bing'du'fei'yan 麻疹病毒肺炎
'ma'er'ni'fei'qing'mei'jun'fei'yan 马尔尼菲青霉菌肺炎
'mai'ya'fei 麦芽肺
'man'xing'bi'dou'yan 慢性鼻窦炎
'man'xing'bi'yan 慢性鼻炎
'man'xing'bi'yan'yan 慢性鼻咽炎
'man'xing'chuan'xi'xing'zhi'qi'guan'yan 慢性喘息性支气管炎
'man'xing'dan'chun'xing'bi'yan 慢性单纯性鼻炎
'man'xing'fei'qu'mei'bing 慢性肺曲霉病
'man'xing'fei'hou'xing'bi'yan 慢性肥厚性鼻炎
'man'xing'fei'nong'zhong 慢性肺脓肿
'man'xing'fei'yuan'xing'xin'zang'bing 慢性肺源性心脏病
'man'xing'gao'shan'bing 慢性高山病
'man'xing'ke'sou 慢性咳嗽
'man'xing'hou'yan 慢性喉炎
'man'xing'guo'min'xing'fei'yan 慢性过敏性肺炎
'man'xing'hu'xi'shuai'jie 慢性呼吸衰竭
'man'xing'hu'xi'shuai'jie'ji'xing'jia'zhong 慢性呼吸衰竭急性加重
'man'xing'hu'xi'xing'jian'zhong'du 慢性呼吸性碱中毒
'man'xing'hu'xi'xing'suan'zhong'du 慢性呼吸性酸中毒
'man'xing'nong'xiong 慢性脓胸
'man'xing'que'jia'xing'di'jia'xue'zheng 慢性缺钾性低钾血症
'man'xing'shi'suan'xing'li'xi'bao'xing'fei'yan 慢性嗜酸性粒细胞性肺炎
'man'xing'xian'wei'kong'dong'xing'fei'jie'he 慢性纤维空洞型肺结核
'man'xing'xiong'mo'yan 慢性胸膜炎
'man'xing'xue'shuan'shuan'se'xing'fei'dong'mai'gao'ya 慢性血栓栓塞性肺动脉高压
'man'xing'xue'xing'bo'san'xing'fei'jie'he 慢性血行播散型肺结核
'man'xing'yan'hou'yan 慢性咽喉炎
'man'xing'yan'yan 慢性咽炎
'man'xing'yao'wu'xing'fei'bing 慢性药物性肺病
'man'xing'zhi'qi'guan'yan 慢性支气管炎
'man'xing'zong'ge'yan 慢性纵隔炎
'man'xing'zu'se'xing'fei'ji'bing 慢性阻塞性肺疾病
'man'xing'zu'se'xing'fei'ji'bing'wen'ding'qi 慢性阻塞性肺疾病稳定期
'man'xing'zu'se'xing'fei'ji'bing 慢性阻塞性肺疾病
'man'xing'zu'se'xing'fei'ji'bing'he'bing'xia'hu'xi'dao'gan'ran 慢性阻塞性肺疾病合并下呼吸道感染
'man'xing'zu'se'xing'fei'ji'bing'ji'xing'jia'zhong'qi 慢性阻塞性肺疾病急性加重期
'man'xing'zu'se'xing'fei'qi'zhong 慢性阻塞性肺气肿
'mao'xi'xue'guan'shen'lou'zong'he'zheng 毛细血管渗漏综合征
'mei'ge'si'zong'he'zheng 梅格斯综合征
'mei'gong'chen'fei 煤工尘肺
'mei'que'fa 镁缺乏
'mi'man'xing'e'xing'xiong'mo'jian'pi'liu 弥漫性恶性胸膜间皮瘤
'mi'man'xing'fan'xi'zhi'qi'guan'yan 弥漫性泛细支气管炎
'mi'man'xing'fei'jian'zhi'xian'wei'hua 弥漫性肺间质纤维化
'mi'man'xing'fei'pao'chu'xue'zong'he'zheng 弥漫性肺泡出血综合征
'mi'man'xing'fei'sun'shang 弥漫性肺损伤
'mi'man'xing'shi'zhi'xing'fei'ji'bing 弥漫性实质性肺疾病
'mian'yi'jian'cha'dian'yi'zhi'ji'xiang'guan'fei'yan 免疫检查点抑制剂相关肺炎
'mi'san'zhang'ai 弥散障碍
'mo'ya'zheng 磨牙症
'mo'gu'fei 蘑菇肺
'nai'duo'yao'jie'he'bing 耐多药结核病
'nan'zhi'xing'xiao'chuan 难治性哮喘
'nang'xing'xian'wei'hua 囊性纤维化
'nang'xing'xian'wei'hua'ban'fei'bu'bing'bian 囊性纤维化伴肺部病变
'nang'xing'xian'wei'hua'ban'hun'he'xing'bing'bian 囊性纤维化伴混合性病变
'nang'zhong 囊肿
'nang'zhuang'zhi'qi'guan'kuo'zhang 囊状支气管扩张
'niao'bao'nei'fen'zhi'gan'jun'fu'he'jun'zu'gan'ran 鸟胞内分枝杆菌复合菌组感染
'nong'min'fei 农民肺
'nong'suo'xing'gao'jia'xue'zheng 浓缩性高钾血症
'nong'du'xing'xiu'ke 脓毒性休克
'nong'du'xue'zheng 脓毒血症
'nong'xiong 脓胸
'nong'xiong'ban'lou 脓胸伴瘘
'pang'di'ya'ke're 庞蒂亚克热
'pi'ji'yan'xiang'guan'xing'jian'zhi'xing'fei'ji'bing 皮肌炎相关性间质性肺疾病
'pi'mao'fei 皮毛肺
'pi'xia'zu'zhi'bing'xue'xi'chong'bing 皮下组织并血吸虫病
'pin'xue'xing'que'yang 贫血性缺氧
'pu'tao'qiu'jun'fei'yan 葡萄球菌肺炎
'pu'tong'gan'mao 普通感冒
'pu'tong'xing'jian'zhi'xing'fei'yan 普通型间质性肺炎
'qi'dao'xia'zhai 气道狭窄
'qi'dao'xian'bi 气道陷闭
'qi'dao'xin'sheng'wu 气道新生物
'qi'dao'yi'wu 气道异物
'qi'dao'zu'se 气道阻塞
'qi'guan'ban'hen 气管瘢痕
'qi'guan'cuo'shang 气管挫伤
'qi'guan'e'xing'zhong'liu 气管恶性肿瘤
'qi'guan'geng'zu 气管梗阻
'qi'guan'ji'ya'shang 气管挤压伤
'qi'guan'ji'fa'e'xing'zhong'liu 气管继发恶性肿瘤
'qi'guan'jiao'jie'xing'zhong'liu 气管交界性肿瘤
'qi'guan'jia'xing'lin'ba'liu 气管假性淋巴瘤
'qi'guan'jiao'hua'bing 气管角化病
'qi'guan'liang'xing'zhong'liu 气管良性肿瘤
'qi'guan'lou'kou'xia'zhai 气管瘘口狭窄
'qi'guan'nong'zhong 气管脓肿
'qi'guan'qi'shi 气管憩室
'qi'guan'qie'kai'dou'dao 气管切开窦道
'qi'guan'rou'ya'zhong 气管肉芽肿
'qi'guan'ruan'hua 气管软化
'qi'guan'shi'guan'lou 气管食管瘘
'qi'guan'shou'ya 气管受压
'qi'guan'tao'guan'ba'chu 气管套管拔除
'qi'guan'wu'ming'dong'mai'lou 气管无名动脉瘘
'qi'guan'xi'rou 气管息肉
'qi'guan'xia'zhai 气管狭窄
'qi'guan'yan 气管炎
'qi'guan'yi'wu 气管异物
'qi'guan'zhi'qi'guan'ruan'hua'zheng 气管支气管软化症
'qi'guan'zhi'qi'guan'yan 气管支气管炎
'qi'liu'shou'xian 气流受限
'qi'ti'xian'bi 气体陷闭
'qi'xiong 气胸
'qian'zong'ge'jiao'jie'xing'zhong'liu 前纵隔交界性肿瘤
'qian'zong'ge'liang'xing'zhong'liu 前纵隔良性肿瘤
'qin'ru'xing'fei'qu'mei'bing 侵入性肺曲霉病
'qin'xi'xing'xian'wei'liu'bing 侵袭性纤维瘤病
'qing'du'gao'tan'suan'xue'zheng 轻度高碳酸血症
'qing'du'hun'he'xing'tong'qi'gong'neng'zhang'ai 轻度混合性通气功能障碍
'qing'du'shui'mian'hu'xi'zan'ting'di'tong'qi'zong'he'zheng 轻度睡眠呼吸暂停低通气综合征
'qing'du'tong'qi'gong'neng'zhang'ai 轻度通气功能障碍
'qing'du'xi'yan 轻度吸烟
'qing'du'xian'zhi'xing'tong'qi'gong'neng'zhang'ai 轻度限制性通气功能障碍
'qing'du'zu'se'xing'tong'qi'gong'neng'zhang'ai 轻度阻塞性通气功能障碍
'qu'zhang'xing'zhi'qi'guan'kuo'zhang 曲张型支气管扩张
'quan'fei'e'xing'zhong'liu 全肺恶性肿瘤
'quan'nong'xiong 全脓胸
'quan'shen'xing'ying'pi'bing'xing'fei'bing'bian 全身性硬皮病性肺病变
'quan'shen'yan'zheng'fan'ying'zong'he'zheng 全身炎症反应综合征
'quan'xiao'ye'fei'qi'zhong 全小叶肺气肿
'que'jia'xing'di'jia'xue'zheng 缺钾性低钾血症
'que'xue'xing'que'yang 缺血性缺氧
'que'yang 缺氧
'que'yang'xing'fei'xue'guan'shou'suo 缺氧性肺血管收缩
're'dai'xing'fei'shi'suan'xing'li'xi'bao'zeng'duo'zheng 热带性肺嗜酸性粒细胞增多症
'ren'gan'ran'gao'zhi'bing'xing'qin'liu'gan 人感染高致病性禽流感
'ren'gong'qi'xiong 人工气胸
'ren'pian'fei'bing'du'gan'ran 人偏肺病毒感染
'ren'shen'qi'xi'yan 妊娠期吸烟
'rou'ya'zhong'suo'zhi'mi'man'xing'shi'zhi'xing'fei'ji'bing 肉芽肿所致弥漫性实质性肺疾病
'rou'ya'zhong'xing'duo'xue'guan'yan 肉芽肿性多血管炎
'ru'mi'xing'xiong'shui 乳糜性胸水
'ru'mi'xiong 乳糜胸
'ru'suan'xing'suan'zhong'du 乳酸性酸中毒
'ruan'mu'chen'fei 软木尘肺
'san'chong'suan'jian'shi'heng 三重酸碱失衡
'sha'men'jun'fei'yan 沙门菌肺炎
'shang'han'bing'fa'fei'yan 伤寒并发肺炎
'shang'han'bing'fa'zhi'qi'guan'yan 伤寒并发支气管炎
'shang'hu'xi'dao'dian'fen'yang'bian'xing 上呼吸道淀粉样变性
'shang'hu'xi'dao'gan'ran 上呼吸道感染
'shang'qiang'jing'mai'zu'se'zong'he'zheng 上腔静脉阻塞综合征
'she'qu'huo'de'xing'fei'yan 社区获得性肺炎
'she'qu'huo'de'xing'zhi'yuan'ti'fei'yan 社区获得性支原体肺炎
'shen'jing'yuan'xing'fei'shui'zhong 神经源性肺水肿
'sheng'li'xing'fen'liu 生理性分流
'shang'qi'dao'ke'sou'zong'he'zheng 上气道咳嗽综合征
'shang'qi'dao'zu'li'zong'he'zheng 上气道阻力综合征
'shen'jing'mai'xue'shuan'xing'cheng 深静脉血栓形成
'shi'dai'chang'xing'dai'xie'xing'suan'zhong'du 失代偿性代谢性酸中毒
'shi'dai'chang'xing'jian'zhong'du 失代偿性碱中毒
'shi'dai'chang'xing'suan'zhong'du 失代偿性酸中毒
'shi'mian'chen'zhuo'bing 石棉沉着病
'shi'mo'chen'fei 石墨尘肺
'shi'guan'bi'suo'ban'qi'guan'shi'guan'lou 食管闭锁伴气管食管瘘
'shi'guan'lie'kong'shan 食管裂孔疝
'shi'guan'qi'guan'lou 食管气管瘘
'shi'guan'xiong'mo'lou 食管胸膜瘘
'shi'guan'zhi'qi'guan'lou 食管支气管瘘
'shi'guan'zong'ge'lou 食管纵隔瘘
'shi'fei'jun'tuan'jun'fei'yan 嗜肺军团菌肺炎
'shi'mai'ya'zhai'shi'dan'bao'jun'fei'yan 嗜麦芽窄食单胞菌肺炎
'shi'suan'xing'li'xi'bao'xing'zhi'qi'guan'yan 嗜酸性粒细胞性支气管炎
'shi'suan'xing'li'xi'bao'zeng'duo'xing'fei'bian'ying'xing'bi'yan 嗜酸性粒细胞增多性非变应性鼻炎
'shi'suan'xing'li'xi'bao'zeng'duo'zheng 嗜酸性粒细胞增多症
'shi'suan'xing'rou'ya'zhong 嗜酸性肉芽肿
'shi'suan'xing'rou'ya'zhong'xing'duo'xue'guan'yan 嗜酸性肉芽肿性多血管炎
'shou'shu'hou'fei'gong'neng'bu'quan 手术后肺功能不全
'shou'shu'hou'man'xing'fei'gong'neng'bu'quan 手术后慢性肺功能不全
'shou'shu'hou'qi'guan'xia'zhai 手术后气管狭窄
'shou'shu'hou'xiong'qiang'ji'ye 手术后胸腔积液
'shou'shu'hou'qi'xiong 手术后气胸
'shou'shu'hou'zhi'qi'guan'xiong'mo'lou 手术后支气管胸膜瘘
'shu'zhu'ye'xiang'guan'xue'liu'gan'ran 输注液相关血流感染
'shuang'chong'dai'xie'xing'suan'jian'wen'luan 双重代谢性酸碱紊乱
'shui'dou'dai'zhuang'pao'zhen'bing'du'fei'yan 水痘-带状疱疹病毒肺炎
'shui'dou'xing'fei'yan 水痘性肺炎
'shui'zhong'du 水中毒
'shui'mian'di'tong'qi 睡眠低通气
'shui'mian'di'tong'qi'zong'he'zheng 睡眠低通气综合征
'shui'mian'dian'xian'fa'zuo 睡眠癫痫发作
'shui'mian'hu'xi'zan'ting 睡眠呼吸暂停
'shui'mian'hu'xi'zan'ting'di'tong'qi'zhi'shu 睡眠呼吸暂停低通气指数
'shui'mian'hu'xi'zan'ting'di'tong'qi'zong'he'zheng 睡眠呼吸暂停低通气综合征
'shui'mian'hu'xi'zhang'ai 睡眠呼吸障碍
'shui'mian'jie'lv'xing'yun'dong'yi'chang 睡眠节律性运动异常
'shui'mian'shi'xiang'qian'yi'zong'he'zheng 睡眠时相前移综合征
'shui'mian'shi'xiang'yan'chi'zong'he'zheng 睡眠时相延迟综合征
'shui'mian'zhang'ai 睡眠障碍
'si'ge'zhe'fei 饲鸽者肺
'ge'zi'si'yang'yuan'de'fei'bu'ji'bing 鸽子饲养员的肺部疾病
'si'niao'zhe'fei 饲鸟者肺
'su'fa'xiang'xiao'chuan'fan'ying 速发相哮喘反应
'suan'jian'ping'heng'shi'tiao 酸碱平衡失调
'suan'jian'ping'heng'wen'luan 酸碱平衡紊乱
'suan'zhong'du 酸中毒
'suo'gu'liang'xing'zhong'liu 锁骨良性肿瘤
'tan'qi 叹气
'tan'ju'fei'yan 炭疽肺炎
'tan'mo'chen'zhuo'bing 碳末沉着病
'tan'xi'mo'chen'zhuo'zheng 碳矽末沉着症
'tang'shi'zong'he'zheng 唐氏综合征
'te'fa'xing'fei'dong'mai'gao'ya 特发性肺动脉高压
'te'fa'xing'fei'han'tie'xue'huang'su'chen'zhuo'zheng 特发性肺含铁血黄素沉着症
'te'fa'xing'fei'xian'wei'hua 特发性肺纤维化
'te'fa'xing'fei'xian'wei'hua'ji'xing'jia'zhong'qi 特发性肺纤维化急性加重期
'te'fa'xing'fei'yan'zong'he'zheng 特发性肺炎综合征
'te'fa'xing'jian'zhi'xing'fei'yan 特发性间质性肺炎
'te'fa'xing'shi'shui 特发性嗜睡
'te'fa'xing'shi'suan'xing'li'xi'bao'xing'fei'yan 特发性嗜酸性粒细胞性肺炎
'te'fa'xing'xiong'mo'fei'shi'zhi'tan'li'xian'wei'zeng'sheng'zheng 特发性胸膜肺实质弹力纤维增生症
'te'fa'xing'xiong'qiang'ji'ye 特发性胸腔积液
'te'yi'xing'mian'yi'zhi'liao 特异性免疫治疗
'te'ying'xing'xiao'chuan 特应性哮喘
'tong'qi'dai'chang 通气代偿
'tong'qi'gong'neng'zhang'ai 通气功能障碍
'tong'qi'guo'du'zong'he'zheng 通气过度综合征
'tong'qi'shi'dai'chang 通气失代偿
'tong'qi'xue'liu'bi'li'shi'tiao 通气血流比例失调
'tong'lv'jia'dan'bao'jun'fei'yan 铜绿假单胞菌肺炎
'tuo'shui 脱水
'tuo'xie'xing'jian'zhi'xing'fei'yan 脱屑型间质性肺炎
'wai'yin'xing'xiao'chuan 外因性哮喘
'wai'yuan'xing'fei'pao'yan 外源性肺泡炎
'wai'yuan'xing'xiao'chuan 外源性哮喘
'wai'zhou'xing'pi'lao 外周性疲劳
'wei'xiao'xing'fei'dong'jing'mai'ji'xing 微小型肺动静脉畸形
'wei'suo'xing'bi'yan 萎缩性鼻炎
'wei'zhi'bing'du'de'liu'xing'xing'gan'mao'ban'fei'yan 未知病毒的流行性感冒伴肺炎
'wei'shi'guan'fan'liu'xing'ke'sou 胃食管反流性咳嗽
'wu'zheng'zhuang'xing'di'na'xue'zheng 无症状性低钠血症
'xi'ru'xing'fei'nong'zhong 吸入性肺脓肿
'xi'ru'xing'fei'yan 吸入性肺炎
'xi'ru'xing'sun'shang 吸入性损伤
'xi'ru'xue'yin'qi'de'fei'yan 吸入血引起的肺炎
'xi'ru'you'yin'qi'de'fei'yan 吸入油引起的肺炎
'xi'ru'you'du'qi'ti'xing'fei'yan 吸入有毒气体性肺炎
'xi'shou'xing'fei'bu'zhang 吸收性肺不张
'xi'yan'zhi'shu 吸烟指数
'xi'shi'xing'di'jia'xue'zheng 稀释性低钾血症
'xi'shi'xing'di'na'xue'zheng 稀释性低钠血症
'xi'chen'fei 锡尘肺
'xi'nai'lao'fei 洗奶酪肺
'xi'tong'xing'qi'shuan'se 系统性气栓塞
'xi'jun'xing'fei'yan 细菌性肺炎
'xi'jun'xing'zhi'qi'guan'fei'yan 细菌性支气管肺炎
'xi'zhi'qi'guan'e'xing'zhong'liu 细支气管恶性肿瘤
'xi'zhi'qi'guan'fei'pao'ai 细支气管肺泡癌
'xi'zhi'qi'guan'kuo'zhang'zheng 细支气管扩张症
'xi'zhi'qi'guan'yi'wu 细支气管异物
'xian'tian'xing'bi'yan'bi'suo 先天性鼻咽闭锁
'xian'tian'xing'cha'zhuang'le 先天性叉状肋
'xian'tian'xing'fei'dong'jing'mai'ji'xing 先天性肺动静脉畸形
'xian'tian'xing'fei'dong'mai'yi'chang'qi'yuan'huo'fa'yu'yi'chang 先天性肺动脉异常起源或发育异常
'xian'tian'xing'fei'nang'zhong 先天性肺囊肿
'xian'tian'xing'fu'fei'ye 先天性副肺叶
'xian'tian'xing'ge'shan 先天性膈疝
'xian'tian'xing'ge'ji'xing 先天性膈畸形
'xian'tian'xing'lei'gu'ji'xing 先天性肋骨畸形
'xian'tian'xing'lei'gu'rong'he 先天性肋骨融合
'xian'tian'xing'lei'gu'rong'he 先天性肋骨融合
'xian'tian'xing'lei'gu'wai'fan 先天性肋骨外翻
'xian'tian'xing'nang'xing'xian'liu'yang'ji'xing 先天性囊性腺瘤样畸形
'xian'tian'xing'qi'guan'zhi'qi'guan'fa'yu'bu'quan 先天性气管支气管发育不全
'xian'tian'xing'wu'fei'ye 先天性无肺叶
'xian'tian'xing'xian'liu'yang'fei'nang'zhong 先天性腺瘤样肺囊肿
'xian'tian'xing'xiong'gu'ji'xing 先天性胸骨畸形
'xian'tian'xing'zhi'qi'guan'cuo'gou'liu 先天性支气管错构瘤
'xian'tian'xing'zhi'qi'guan'ji'xing 先天性支气管畸形
'xian'tian'xing'zong'ge'nang'zhong 先天性纵隔囊肿
'xian'wei'dan'bai'xing'xiong'mo'yan 纤维蛋白性胸膜炎
'xian'wei'dan'bai'xing'zhi'qi'guan'yan 纤维蛋白性支气管炎
'xian'wei'jing'xia'duo'xue'guan'yan 显微镜下多血管炎
'xian'zhi'xing'tong'qi'gong'neng'zhang'ai 限制性通气功能障碍
'xian'wei'xiong 纤维胸
'xian'bing'du'xing'fei'yan 腺病毒性肺炎
'xian'lin'ai 腺鳞癌
'xian'pao'zhou'wei'xing'fei'qi'zhong 腺泡周围型肺气肿
'xiang'dui'shen'shang'xian'pi'zhi'gong'neng'bu'quan 相对肾上腺皮质功能不全
'xiang'guan'yin'su'suo'zhi'fei'dong'mai'gao'ya 相关因素所致肺动脉高压
'xiao'er'fei'yan 小儿肺炎
'xiao'qi'dao'bing'bian 小气道病变
'xiao'qi'dao'gong'neng'zhang'ai 小气道功能障碍
'xiao'qi'dao'xian'bi 小气道陷闭
'xiao'xi'bao'fei'ai 小细胞肺癌
'xiao'ye'xing'fei'yan 小叶性肺炎
'xiao'chuan'man'xing'zu'se'xing'fei'ji'bing'zhong'die 哮喘-慢性阻塞性肺疾病重叠
'xiao'chuan'wan'quan'kong'zhi 哮喘完全控制
'xiao'chuan'wei'kong'zhi 哮喘未控制
'xiao'chuan'xing'fei'shi'suan'xing'li'xi'bao'jin'run'zheng 哮喘性肺嗜酸性粒细胞浸润症
'xin'bao'nang'zhong 心包囊肿
'xin'bao'qi'zhong 心包气肿
'xin'ji'geng'si'hou'zong'he'zheng 心肌梗死后综合征
'xin'yuan'xing'fei'shui'zhong 心源性肺水肿
'xin'sheng'er'chi'xu'xing'fei'dong'mai'gao'ya 新生儿持续性肺动脉高压
'xin'sheng'er'man'xing'fei'ji'bing 新生儿慢性肺疾病
'xin'sheng'er'qi'guan'yan 新生儿气管炎
'xin'sheng'er'tong'qi'ji'fei 新生儿通气机肺
'xin'sheng'er'xian'tian'xing'fei'xian'wei'hua 新生儿先天性肺纤维化
'xin'sheng'er'zhi'qi'guan'fei'fa'yu'bu'liang 新生儿支气管肺发育不良
'xin'sheng'er'zhi'qi'guan'fei'yan 新生儿支气管肺炎
'xin'xing'yin'qiu'jun'fei'yan 新型隐球菌肺炎
'xiong'bi'dou'dao 胸壁窦道
'xiong'bi'e'xing'zhong'liu 胸壁恶性肿瘤
'xiong'bi'ji'fa'e'xing'zhong'liu 胸壁继发恶性肿瘤
'xiong'bi'jie'he 胸壁结核
'xiong'bi'liang'xing'zhong'liu 胸壁良性肿瘤
'xiong'bi'lin'ba'jie'jie'he 胸壁淋巴结结核
'xiong'bi'shu'hou'ruan'hua 胸壁术后软化
'xiong'bi'xian'wei'rou'liu 胸壁纤维肉瘤
'xiong'bu'e'xing'zhong'liu 胸部恶性肿瘤
'xiong'bu'lin'ba'guan'liu 胸部淋巴管瘤
'xiong'bu'sun'shang 胸部损伤
