# 生成工具 https://github.com/whitewatercn/rimetool
# 生成时间 2025-02-18_10-27-47
---
'an'mian 安眠
'yu'zhen'xue 玉枕穴
'yu'zhong 彧中
'yu'zhong'xue 彧中穴
'yuan'xue 原穴
'yuan'ye 渊液
'yuan'ye 渊腋
'yuan'ye'xue 渊腋穴
'yuan'zhong 缘中
'yun'men 云门
'yun'men'xue 云门穴
'zhang'men 章门
'zhang'men'xue 章门穴
'zhao'hai 照海
'zhao'hai'xue 照海穴
'zhe'jin 辄筋
'zhe'jin'xue 辄筋穴
'zhen'qu 枕区
'zhen'xiao'shen'jing'dian 枕小神经点
'zhen'xue 枕穴
'zheng'ying 正营
'zheng'ying'xue 正营穴
'zhi'bian 秩边
'zhi'bian'xue 秩边穴
'zhi'chang 直肠
'zhi'dian 支点
'zhi'gou 支沟
'zhi'gou'xue 支沟穴
'zhi'qi'guan 支气管
'zhi'qu 指区
'zhi'qu 趾区
'zhi'shi 志室
'zhi'shi'xue 志室穴
'zhi'xue 指穴
'zhi'xue 趾穴
'zhi'yang 至阳
'zhi'yang'xue 至阳穴
'zhi'yin 至阴
'zhi'yin'xue 至阴穴
'zhi'zheng 支正
'zhi'zheng'xue 支正穴
'zhong'bei 中背
'zhong'chong 中冲
'zhong'chong'xue 中冲穴
'zhong'du 中渎
'zhong'du 中都
'zhong'du'xue 中渎穴
'zhong'du'xue 中都穴
'zhong'feng 中封
'zhong'feng'xue 中封穴
'zhong'fu 中府
'zhong'fu'xue 中府穴
'zhong'ji 中极
'zhong'ji'xue 中极穴
'zhong'kui 中魁
'zhong'kui'xue 中魁穴
'zhong'liao 中髎
'zhong'liao'xue 中髎穴
'zhong'liu'te'yi'qu 肿瘤特异区
'zhong'lv'yu 中膂俞
'zhong'lv'yu'xue 中膂俞穴
'zhong'ping 中平
'zhong'ping'xue 中平穴
'zhong'quan 中泉
'zhong'quan'xue 中泉穴
'zhong'shu 中枢
'zhong'shu'xue 中枢穴
'zhong'ting 中庭
'zhong'ting'xue 中庭穴
'zhong'wan 中脘
'zhong'wan'xue 中脘穴
'zhong'zhu 中注
'zhong'zhu 中渚
'zhong'zhu'xue 中注穴
'zhong'zhu'xue 中渚穴
'zhou'jian 肘尖
'zhou'jian'xue 肘尖穴
'zhou'liao 肘髎
'zhou'liao'xue 肘髎穴
'zhou'qu 肘区
'zhou'rong 周荣
'zhou'rong'xue 周荣穴
'zhou'xue 肘穴
'zhu'bin 筑宾
'zhu'bin'xue 筑宾穴
'zi'gong 子宫
'zi'gong 紫宫
'zi'gong'xue 子宫穴
'zi'gong'xue 紫宫穴
'zu'jue'yin 足厥阴
'zu'jue'yin'gan'jing 足厥阴肝经
'zu'lin'qi 足临泣
'zu'lin'qi'xue 足临泣穴
'zu'qiao'yin 足窍阴
'zu'qiao'yin'xue 足窍阴穴
'zu'san'li 足三里
'zu'san'li'xue 足三里穴
'zu'san'yang 足三阳
'zu'san'yin 足三阴
'zu'shao'yang 足少阳
'zu'shao'yang'dan'jing 足少阳胆经
'zu'shao'yin 足少阴
'zu'shao'yin'shen'jing 足少阴肾经
'zu'tai'yang 足太阳
'zu'tai'yang'pang'guang'jing 足太阳膀胱经
'zu'tai'yin 足太阴
'zu'tai'yin'pi'jing 足太阴脾经
'zu'tong'gu 足通谷
'zu'tong'gu'xue 足通谷穴
'zu'wu'li 足五里
'zu'wu'li'xue 足五里穴
'zu'yang'ming 足阳明
'zu'yang'ming'wei'jing 足阳明胃经
'zui'dian 醉点
'zuo'gu'shen'jing 坐骨神经
