# 生成工具 https://github.com/whitewatercn/rimetool
# 生成时间 2025-02-18_11-10-10
---
'f'yi FⅠ
'bai'tou'weng'zhi'li 白头翁止痢
'bai'tou'weng'zhi'li'pian 白头翁止痢片
'bai'tu'chuang'bing 白秃疮病
'bai'tu'ling'duan'zhu'xiao'ba'qia 白土苓短柱肖菝葜
'bai'wen'yi'wen 白纹伊蚊
'bai'xi'bao'bing 白细胞病
'bai'xi'bao'bu'zeng'duo'xing'xue'bing 白细胞不增多性血病
'bai'xi'bao'chu'lv 白细胞除滤
'bai'xi'bao'fen'lei'ji'shu 白细胞分类计数
'bai'xi'bao'fen'lei'ji'shu'yi'chang 白细胞分类计数异常
'bai'xi'bao'ge'li 白细胞隔离
'bai'xi'bao'gong'neng'xiang'guan'kang'yuan 白细胞功能相关抗原
'bai'xi'bao'gong'tong'kang'yuan 白细胞共同抗原
'bai'xi'bao'ji'shu 白细胞计数
'bai'xi'bao'jian'jie'su 白细胞间介素
'bai'xi'bao'jian'jie'su'shou'ti 白细胞间介素受体
'bai'xi'bao'jian'shao 白细胞减少
'bai'xi'bao'jian'shao'zheng 白细胞减少症
'bai'xi'bao'jie'su 白细胞介素
'bai'xi'bao'jie'su'liao'fa 白细胞介素疗法
'bai'xi'bao'jie'su'shou'ti 白细胞介素受体
'bai'xi'bao'jie'su'shou'ti'bu'wei 白细胞介素受体部位
'bai'xi'bao'jie'su'zhuan'huan'mei 白细胞介素转换酶
'bai'xi'bao'ju'ji'ti 白细胞聚集体
'bai'xi'bao'kang'yuan 白细胞抗原
'bai'xi'bao'kang'yuan'pei'xing 白细胞抗原配型
'bai'xi'bao'kang'yuan'xiang'tong'tong'bao 白细胞抗原相同同胞
'bai'xi'bao'ke'li'yi'chang 白细胞颗粒异常
'bai'xi'bao'lv'qi 白细胞滤器
'bai'xi'bao'nian'fu'yi'zhi'shi'yan 白细胞粘附抑制试验
'bai'xi'bao'nian'zhe'fan'ying 白细胞粘着反应
'bai'xi'bao'ning'ji'su 白细胞凝集素
'bai'xi'bao'qu'hua'gong'neng'jian'cha 白细胞趋化功能检查
'bai'xi'bao'san'xi 白细胞三烯
'bai'xi'bao'sha'jun'gong'neng'shi'yan 白细胞杀菌功能试验
'bai'xi'bao'sui'lie 白细胞碎裂
'bai'xi'bao'sui'lie'xing'xue'guan'yan 白细胞碎裂性血管炎
'bai'xi'bao'tiao'jian'pei'yang'ye 白细胞条件培养液
'bai'xi'bao'tiao'jie'su 白细胞调节素
'bai'xi'bao'tou'xi 白细胞透析
'bai'xi'bao'tun'shi'gong'neng'shi'yan 白细胞吞噬功能试验
'bai'xi'bao'yi'dong'yi'zhi'yin'zi 白细胞移动抑制因子
'bai'xi'bao'yi'zhi'yin'zi 白细胞抑制因子
'bai'xi'bao'zeng'duo 白细胞增多
'bai'xi'bao'zeng'duo'zheng 白细胞增多症
'bai'xi'bao'zhan'lian'dan'bai 白细胞粘连蛋白
'bai'xi'bao'zhan'lian'shou'ti'bu'wei 白细胞粘连受体部位
'bai'xi'xin 白细辛
'bai'xian'fu'yan'qing'shuan 百仙妇炎清栓
'bai'xian'pi 白鲜皮
'bai'xian'shan'huai'ju 白线疝坏疽
'bai'xiao'an 白消安
'bai'xiao'an'ma'li'lan 白消安马利兰
'bai'xiao'an'pian 白消安片
'bai'xiao'an'zhu'she'ye 白消安注射液
'bai'xuan'xia'ta're 百癣夏塔热
'bai'xuan'xia'ta're'jiao'nang 百癣夏塔热胶囊
'bai'xuan'xia'ta're'pian 百癣夏塔热片
'bai'xuan'xia'ta're'pian'bo'mo'yi 百癣夏塔热片薄膜衣
'bai'xuan'xia'ta're'pian'tang'yi 百癣夏塔热片糖衣
'bai'xue'bing'bing'du 白血病病毒
'bai'xue'bing'bing'du'xing 白血病病毒型
'bai'xue'bing'can'liu'bing'zao'jian'ce 白血病残留病灶检测
'bai'xue'bing'ge'ren'shi 白血病个人史
'bai'xue'bing'jia'zu'shi 白血病家族史
'bai'xue'bing'kang'yuan'jian'ce 白血病抗原检测
'bai'xue'bing'mian'yi'fen'xing 白血病免疫分型
'bai'xue'bing'qian'qi'zong'he'zheng 白血病前期综合症
'bai'xue'bing'xing'guan'jie'bing 白血病性关节病
'bai'xue'bing'xing'xiu'ke 败血病性休克
'bai'xue'bing'yang'fan'ying 白血病样反应
'bai'xue'chong'xin'zheng 败血冲心证
'bai'xue'ru'bao'zheng 败血入胞证
'bai'xue'zheng 败血症
'bai'xue'zheng'xing'shu'yi 败血症性鼠疫
'bai'xue'zheng'you'yu'zhu'ru'ren'nai 败血症由于注入人奶
'bai'yang'su 白杨素
'bai'yang'xiao'ru'gao 百痒消乳膏
'bai'yao'jiao'nang 白药胶囊
'bai'yao'zi 白药子
'bai'ye'tang 柏叶汤
'bai'yi'chao'jiao'nang 白蚁巢胶囊
'bai'yi'qing'gan'ning 百亿清甘宁
'bai'yi'ruan'jiao'nang 百益软胶囊
'bai'yi'yi'fen'zhi'yi 百亿亿分之一
'bai'you'yang'bian 柏油样便
'bai'zhi'hang'bai'zhi 白芷杭白芷
'bai'zhi'hui'zhi'xing'nao'bing 白质灰质性脑病
'bai'zhi'ke'li 白芝颗粒
'bai'zhi'qian'lian'he 白质前连合
'bai'zhi'qu'shi 柏栀祛湿
'bai'zhi'qu'shi'pen'wu'ji 柏栀祛湿喷雾剂
'bai'zhi'qu'shi'xi'ye 柏栀祛湿洗液
'bai'zhi'shan'gan'mao 白纸扇感冒
'bai'zhi'shan'gan'mao'ke'li 白纸扇感冒颗粒
'bai'zhi'xi'ji 柏芷洗剂
'bai'zhong'xing'long'qu'feng'you 百中兴隆驱风油
'bai'zhu'dong'shu 白术冬术
'bai'zhu'nei'zhi 白术内酯
'bai'zhu'san 白术散
'bai'zhu'shao'yao'san 白术芍药散
'bai'zi'ren 柏子仁
'bai'zi'ren'wan 柏子仁丸
'bai'zi'yang'xin 柏子养心
'bai'zi'yang'xin'jiao'nang 柏子养心胶囊
'bai'zi'yang'xin'pian 柏子养心片
'bai'zi'yang'xin'tang 柏子养心汤
'bai'zi'yang'xin'wan 柏子养心丸
'bai'zi'yang'xin'wan'da'mi'wan 柏子养心丸大蜜丸
'bai'zi'zi'xin'nong'suo'wan 柏子滋心浓缩丸
'bai'zi'zi'xin'wan 柏子滋心丸
'ban'ao'pi'yan 斑螯皮炎
'ban'bao'liu'fu'zhi 半保留复制
'ban'bao'lu'liao'fa 半暴露疗法
'ban'bao'zi'wa'fen'mei'jun 半孢子蛙粪霉菌
'ban'bei'mei'su'lei 班贝霉素类
'ban'bi'shi'zhuang'zhi 半闭式装置
'ban'bi'suo'bu'quan 瓣闭锁不全
'ban'bi'ting'qu'ban'shuang 斑碧婷祛斑霜
'ban'bi'zai'zao'shu 半鼻再造术
'ban'bian'lian 半边莲
'ban'biao'ban'li 半表半里
'ban'bu'ren'xing 半不稔性
'ban'bu'te'luo 班布特罗
'ban'ce'ke'ya'yin'mo 半侧颗牙阴膜
'ban'ce'ke'ya'yin'mo 半侧颗牙龈膜
'ban'ce'mian'fei'da 半侧面肥大
'ban'ce'xia'e'tong'huan'mo'xing 半测下额筒环模型
'ban'ce'xia'he'gu'ju'huan'mo'xing 半侧下颌骨踽环模型
'ban'ce'xia'he'gu'qie'chu'shu 半侧下颌骨切除术
'ban'ce'yan'mian'wei'suo'zheng'xing'shu 半侧颜面萎缩整形术
'ban'ceng'jian'xing'bai'nei'zhang 板层间性白内障
'ban'ceng'jiao'mo'qie'chu'shu 板层角膜切除术
'ban'ceng'jiao'mo'yi'zhi'shu 板层角膜移植术
'ban'ceng'ke'li 板层颗粒
'ban'ceng'yan'jian'chong'jian'shu 板层眼睑重建术
'ban'ceng'zhuang'yu'lin'bing 板层状鱼鳞病
'ban'cha'ru'shu 瓣插入术
'ban'chun'ma'xian'hao 斑唇马先蒿
'ban'dao'dou'ning'ji'su 伴刀豆凝集素
'ban'dao'dou'qiu'dan'bai 伴刀豆球蛋白
'ban'dao'dou'qiu'dan'bai'jie'he'wei'dian 伴刀豆球蛋白结合位点
'ban'dao'dou'qiu'dan'bai'shou'ti 伴刀豆球蛋白受体
'ban'dao'ti'ji'guang'liao'fa 半导体激光疗法
'ban'dao'ti'ji'liang'jian'kong 半导体剂量监控
'ban'dao'ti'li'zi'tan'ce'qi 半导体粒子探测器
'ban'dao'ti'zhao'xiang'ji 半导体照相机
'ban'dian're'lei 斑点热类
'ban'dian'shi'wang'mo'ye'mang'zong'he'zheng 斑点视网膜夜盲综合症
'ban'dian'za'jiao 斑点杂交
'ban'dian'zhuang'pi'fu'wei'suo 斑点状皮肤萎缩
'ban'fa'zheng'zhuang 伴发症状
'ban'feng'he 半枫荷
'ban'feng'he'yao'jiu 半枫荷药酒
'ban'fu'wo'wei 半俯卧位
'ban'gan'qie'chu'shu 半肝切除术
'ban'ge'dian'hua'jia'zhuang'xian'su 半个碘化甲状腺素
'ban'gen'zhi'shi'zi'gong'qie'chu'shu 半根治式子宫切除术
'ban'gong'shi'guan'li'gong'zuo 办公室管理工作
'ban'gu'ding'chi'qiao 半固定齿桥
'ban'gu'ding'qiao 半固定桥
'ban'gu'ding'qiao'lian'jie'ti 半固定桥连接体
'ban'gu'pen'jia'ti 半骨盆假体
'ban'gu'pen'qie'chu'shu 半骨盆切除术
'ban'gu'ti'wu 半固体物
'ban'gu'ti'zhi'ji 半固体制剂
'ban'guan'jie'cheng'xing'shu 半关节成形术
'ban'guan'jie'mian 半关节面
'ban'guan'mu'zhao'di 半灌木沼地
'ban'guan'xing'gang'ban 半管型钢板
'ban'guan'xing'gang'ban'bu'xiu'gang 半管型钢板不锈钢
'ban'guan'xing'gang'ban'chun'tai 半管型钢板纯钛
'ban'guan'xing'gang'ban'tai'he'jin 半管型钢板钛合金
'ban'guang'an'suan 半胱氨酸
'ban'guang'an'suan'an 半胱氨酸胺
'ban'guang'an'suan'an 半胱胺酸铵
'ban'guang'an'suan'dan'bai'mei'jie'kang'ji 半胱氨酸蛋白酶拮抗剂
'ban'guang'an'suan'dan'bai'mei'lei 半胱氨酸蛋白酶类
'ban'guang'an'suan'dan'bai'mei'yi'zhi'ji 半胱氨酸蛋白酶抑制剂
'ban'guang'an'suan'dan'bai'mei'yi'zhi'wu 半胱氨酸蛋白酶抑制物
'ban'guang'an'suan'jie'he'lie'jie'mei 半胱氨酸结合裂解酶
'ban'guang'an'suan'lian'jie'mei 半胱氨酸连接酶
'ban'guang'an'suan'nei'tai'mei'lei 半胱氨酸内肽酶类
'ban'guang'an'suan'te'yi 半胱氨酸特异
'ban'guang'an'suan'tuo'qiu'ji'mei 半胱氨酸脱巯基酶
'ban'guang'an'suan'yan'suan'yan 半胱氨酸盐酸盐
'ban'guang'an'suan'yan'suan'yan 半胱胺酸盐酸盐
'ban'guang'an'suan'zhuan'yi 半胱氨酸转移
'ban'guang'an'xian 半胱氨酰
'ban'guang'an'xian'duo'ba 半胱氨酰多巴
'ban'guang'an'xian'he'cheng'mei 半胱氨酰合成酶
'ban'gui'guan 半规管
'ban'gui'guan'lou 半规管瘘
'ban'gui'guan'qing'tan 半规管轻瘫
'ban'gui'guan'tian'sai'shu 半规管填塞术
'ban'gui'guan'zhu'wang'mo'xia'fen'liu'shu 半规管蛛网膜下分流术
'ban'he'cheng'pei'yang'ji 半合成培养基
'ban'he'cheng'ye'you'zhi 半合成椰油酯
'ban'he'cheng'zhi'fang'suan'gan'you'zhi 半合成脂肪酸甘油酯
'ban'he'cheng'zhi'fang'suan'zhi 半合成脂肪酸酯
'ban'hen'ge'da 瘢痕疙瘩
'ban'hen'ge'da'qie'chu'shu 瘢痕疙瘩切除术
'ban'hen'ge'da'xing'cuo'chuang 瘢痕疙瘩性痤疮
'ban'hen'ge'da'xing'ya'sheng'jun'bing 瘢痕疙瘩性芽生菌病
'ban'hen'ji'xing 瘢痕畸形
'ban'hen'ji'xing'jiao'zheng'shu 瘢痕畸形矫正术
'ban'hen'jie'jie'bing 瘢痕结节病
'ban'hen'liu'xing'ya'sheng'jun'bing 瘢痕瘤性芽生菌病
'ban'hen'luan'suo 瘢痕挛缩
'ban'hen'qie'chu'shu 瘢痕切除术
'ban'hen'qie'chu'zhi'pi'shu 瘢痕切除植皮术
'ban'hen'shang'pi 瘢痕上皮
'ban'hen'song'jie'shu 瘢痕松解术
'ban'hen'song'jie'zhi'pi'shu 瘢痕松解植皮术
'ban'hen'ti'zhi 瘢痕体质
'ban'hen'xing'cheng 瘢痕形成
'ban'hen'xing'dao'jie 瘢痕性倒睫
'ban'hen'xing'hong'ban'pi'fu'wei'suo 瘢痕性红斑皮肤萎缩
'ban'hen'xing'jian'nei'fan 瘢痕性睑内翻
'ban'hen'xing'jian'nei'fan'jiao'zheng'shu 瘢痕性睑内翻矫正术
'ban'hen'xing'jian'wai'fan 瘢痕性睑外翻
'ban'hen'xing'jian'wai'fan'jiao'zheng'shu 瘢痕性睑外翻矫正术
'ban'hen'xing'lei'tian'pao'chuang 瘢痕性类天疱疮
'ban'hen'xing'tuo'fa 瘢痕性脱发
'ban'hen'xing'tuo'fa'mao'zhou'jiao'hua'bing 瘢痕性脱发毛周角化病
'ban'hen'xing'ya'sheng'jun'bing 瘢痕型芽生菌病
'ban'hen'xing'yan'xia'zhai 瘢痕性咽狭窄
'ban'hen'xing'you'men'geng'zu 瘢痕性幽门梗阻
'ban'hen'zu'zhi 瘢痕组织
'ban'hen'zu'zhi'ji 瘢痕组织骥
'ban'hen'zu'zhi'tian'chong'fa 瘢痕组织填充法
'ban'hen'zu'zhi'xiu'fu 瘢痕组织修复
'ban'hou'qie'chu'shu 半喉切除术
'ban'hu'luo'bo'su'tong 半胡萝卜素酮
'ban'hu'po'ci'er'chun 半琥珀雌二醇
'ban'hua'sheng'qiu'dan'bai 伴花生球蛋白
'ban'huan'cheng'xing'shu 瓣环成形术
'ban'huan'xing'wai'gu'ding'zhi'jia 半环形外固定支架
'ban'huang'yang'du'jie'ke'zhi 斑黄阳毒皆可治
'ban'ji'sheng'wu 半寄生物
'ban'ji'sheng'zhi'wu 半寄生植物
'ban'ji'zhuang'zhi 扳机状指
'ban'ji'zhuang'zhi 板机状指
'ban'jian'ji'dai'gen'jian'shu 半腱肌代跟腱术
'ban'jie'chang'qie'chu'shu 半结肠切除术
'ban'jie'pou'shi'ya 半解剖式牙
'ban'jin'gao'pian 半浸膏片
'ban'jing'mi'zhi'tuo 半精密支托
'ban'kai'fang'zhuang'zhi 半开放装置
'ban'kang'yuan 半抗原
'ban'kang'yuan'dan'bai'jie'he'wu 半抗原蛋白结合物
'ban'kang'yuan'kang'ti'fu'he'wu 半抗原抗体复合物
'ban'kang'yuan'kang'ti'ning'ju'wu 半抗原抗体凝聚物
'ban'kang'yuan'kang'ti'xiang'hu'zuo'yong 半抗原抗体相互作用
'ban'kang'yuan'xi'bao'jie'he'wu 半抗原细胞结合物
'ban'kang'yuan'yi'zhi'shi'yan 半抗原抑制试验
'ban'kang'yuan'zai'ti'dan'bai'fu'he'wu 半抗原载体蛋白复合物
'ban'kang'yuan'zai'ti'fu'he'wu 半抗原载体复合物
'ban'kang'yuan'zai'ti'xian'xiang 半抗原载体现象
'ban'kou'fan'liu'mian'ji 瓣口反流面积
'ban'kou'fan'ying 坂口反应
'ban'kou'xian'chong'bing 板口线虫病
'ban'kou'xian'chong'mei'zhou 板口线虫美洲
'ban'kou'yi'chi 半口义齿
'ban'kuai'ji'shu 斑块技术
'ban'kuai'xing'fu'yin'xie'bing 斑块型副银屑病
'ban'kuai'zhuang'fu'yin'xie'bing 斑块状副银屑病
'ban'kuai'zhuang'niu'pi'xuan 斑块状牛皮癣
'ban'kuai'zhuang'ying'ban'bing 斑块状硬斑病
'ban'kuan'dan'dong'tou 半髋单动头
'ban'kuan'shuang'dong'tou 半髋双动头
'ban'lan'ao'sha 板蓝奥沙
'ban'lan'da'qing 板蓝大青
'ban'lan'da'qing'ke'li 板兰大青颗粒
'ban'lan'da'qing'ke'li 板蓝大青颗粒
'ban'lan'gen 板兰根
'ban'lan'gen 板蓝根
'ban'lan'gen'cha 板蓝根茶
'ban'lan'gen'chong'ji 板兰根冲剂
'ban'lan'gen'di'wan 板蓝根滴丸
'ban'lan'gen'han'pian 板蓝根含片
'ban'lan'gen'jiao'nang 板蓝根胶囊
'ban'lan'gen'ju'jue'pian 板蓝根咀嚼片
'ban'lan'gen'ke'li 板兰根颗粒
'ban'lan'gen'ke'li 板蓝根颗粒
'ban'lan'gen'ke'li'wu'tang'xing 板蓝根颗粒无糖型
'ban'lan'gen'kou'fu'ye 板蓝根口服液
'ban'lan'gen'pian 板蓝根片
'ban'lan'gen'ruan'jiao'nang 板蓝根软胶囊
'ban'lan'gen'song'lan 板兰根菘蓝
'ban'lan'gen'tang'jiang 板蓝根糖浆
'ban'lan'gen'zhu'she'ye 板蓝根注射液
'ban'lan'jie'du 板蓝解毒
'ban'lan'jie'du'zhu'she'ye 板蓝解毒注射液
'ban'lan'qing're 板蓝清热
'ban'lan'qing're'ke'li 板蓝清热颗粒
'ban'lie'er'shi'fa 班列二氏法
'ban'lie'er'shi'shi'ji 班列二氏试剂
'ban'lie'er'shi'shi'yan 班列二氏试验
'ban'long'gu'shen'jiao'nang 斑龙固肾胶囊
'ban'long'shen'bao 斑龙肾宝
'ban'luo'xuan'shi'huai'zu'jiao'xing'qi 半螺旋式踝足矫形器
'ban'ma'dao'si 斑马导丝
'ban'ma'er'shi'bing 班马二氏病
'ban'ma'yan'shui 斑马眼水
'ban'ma'yan'ye 班马眼液
'ban'ma'zhuang'se'su'chen'zhuo 斑马状色素沉着
'ban'mai'ru'heng'ru'shi'feng'he 半埋入横褥式缝合
'ban'mao'pi'yan 斑蝥皮炎
'ban'mao'su 斑蟊素
'ban'mao'su'ru'gao 斑蝥素乳膏
'ban'mao'su'ru'gao 班蝥素乳膏
'ban'mao'suan'na 斑蝥酸钠
'ban'mao'suan'na'pian 斑蝥酸钠片
'ban'mao'suan'na'wei'sheng'su 斑蝥酸钠维生素
'ban'mao'suan'na'wei'sheng'su'zhu'she'ye 斑蝥酸钠维生素注射液
'ban'mao'suan'na'zhu'she'ye 斑蝥酸钠注射液
'ban'mao'yi'wai'zhong'du 斑蝥意外中毒
'ban'mian'jing'luan 半面痉挛
'ban'mian'ti'xiao'ji'xing'zong'he'zheng 半面体小畸形综合症
'ban'mo'bian'xing 瓣膜变形
'ban'mo'cheng'xing'huan 瓣膜成形环
'ban'mo'cheng'xing'shu 瓣膜成形术
'ban'mo'jia'ti'lou'xiu'bu'shu 瓣膜假体漏修补术
'ban'mo'po'lie 瓣膜破裂
'ban'mo'qie'kai'shu 瓣膜切开术
'ban'mo'qie'kai'shu'hou'zong'he'zheng 瓣膜切开术后综合症
'ban'mo'xing'xin'bing 瓣膜性心病
'ban'mo'xing'xin'zang'bing 瓣膜性心脏病
'ban'mo'zhi'huan'shu 瓣膜置换术
'ban'pi'yi'zhi 半脾移植
'ban'pian'shi'yan 斑片试验
'ban'pian'zhuang 斑片状
'ban'qi'jing'mai 半奇静脉
'ban'qi'sheng'ti 半奇生体
'ban'qian'wei'sheng'she'shi 搬迁卫生设施
'ban'qiao'li 半桥粒
'ban'qiao'li'nei'ban'kuai 半桥粒内斑块
'ban'qie'ya'shu 半切牙术
'ban'qing'dan'bai 伴清蛋白
'ban'qiu'hou'zhu'she 半球后注射
'ban'qiu'xing'ru'fang 半球形乳房
'ban'qiu'xing'shi'ye'ji 半球形视野计
'ban'ri'hua'ke 半日花科
'ban'ru'geng'tong'tang 半乳庚酮糖
'ban'ru'jia'ji'tang 半乳甲基糖
'ban'ru'ju'tang 半乳聚糖
'ban'ru'ju'tang'ban'ru'tang'quan'suan'mei 半乳聚糖半乳糖醛酸酶
'ban'ru'ju'tang'lei 半乳聚糖类
'ban'ru'ju'tang'mei 半乳聚糖酶
'ban'ru'tang'an 半乳糖胺
'ban'ru'tang'an'liu'suan'liu'suan'zhi'mei 半乳糖胺硫酸硫酸酯酶
'ban'ru'tang'an'mei 半乳糖胺酶
'ban'ru'tang'biao'yi'gou'mei 半乳糖表异构酶
'ban'ru'tang'biao'yi'gou'mei'que'fa 半乳糖表异构酶缺乏
'ban'ru'tang'cha'xiang'mei 半乳糖差向酶
'ban'ru'tang'cha'xiang'yi'gou'mei 半乳糖差向异构酶
'ban'ru'tang'chun 半乳糖醇
'ban'ru'tang'gan 半乳糖苷
'ban'ru'tang'gan'guo'tang 半乳糖苷果糖
'ban'ru'tang'gan'jie'he'dan'bai 半乳糖苷结合蛋白
'ban'ru'tang'gan'lei 半乳糖苷类
'ban'ru'tang'gan'mei 半乳糖甘酶
'ban'ru'tang'gan'mei 半乳糖苷酶
'ban'ru'tang'gan'mei'lei 半乳糖苷酶类
'ban'ru'tang'gan'mei'que'fa 半乳糖苷酶缺乏
'ban'ru'tang'gan'mei'que'fa'zheng 半乳糖苷酶缺乏症
'ban'ru'tang'gan'mei'tong'gong'mei'que'fa 半乳糖苷酶同功酶缺乏
'ban'ru'tang'gan'shui'jie'mei 半乳糖苷水解酶
'ban'ru'tang'gan'suan'mei 半乳糖苷酸酶
'ban'ru'tang'gan'suan'mei'que'fa'zheng 半乳糖苷酸酶缺乏症
'ban'ru'tang'gan'tou'xing'mei 半乳糖苷透性酶
'ban'ru'tang'gan'yi'xian'an'ji'pu'tang 半乳糖苷乙酰氨基葡糖
'ban'ru'tang'gan'zhuan'yi'xian'mei 半乳糖苷转乙酰酶
'ban'ru'tang'huo'hua'yin'zi 半乳糖活化因子
'ban'ru'tang'ji'mei 半乳糖激酶
'ban'ru'tang'ji'mei'que'fa 半乳糖激酶缺乏
'ban'ru'tang'ji'mei'que'fa'bing 半乳糖激酶缺乏病
'ban'ru'tang'ji'shen'jing'xian'an'lei 半乳糖基神经酰胺类
'ban'ru'tang'ji'zhuan'yi'mei 半乳糖基转移酶
'ban'ru'tang'ji'zhuan'yi'mei'tong'gong'mei 半乳糖基转移酶同功酶
'ban'ru'tang'jiao'lin'suan'hua'mei 半乳糖焦磷酸化酶
'ban'ru'tang'jiao'lin'suan'mei 半乳糖焦磷酸酶
'ban'ru'tang'lin'suan 半乳糖磷酸
'ban'ru'tang'lin'suan'lei 半乳糖磷酸类
'ban'ru'tang'lin'suan'niao'gan'xian 半乳糖磷酸尿苷酰
'ban'ru'tang'lin'suan'niao'gan'zhuan'yi'mei 半乳糖磷酸尿苷转移酶
'ban'ru'tang'lin'suan'yan 半乳糖磷酸盐
'ban'ru'tang'lin'suan'zhuan'niao'gan'xian'mei 半乳糖磷酸转尿苷酰酶
'ban'ru'tang'liu'hua'mei 半乳糖硫化酶
'ban'ru'tang'liu'suan'hua'mei 半乳糖硫酸化酶
'ban'ru'tang'liu'suan'liu'suan'zhi'mei 半乳糖硫酸硫酸酯酶
'ban'ru'tang'nai'liang 半乳糖耐量
'ban'ru'tang'nai'liang'shi'yan 半乳糖耐量试验
'ban'ru'tang'nao'gan'zhi'lei 半乳糖脑苷脂类
'ban'ru'tang'nao'gan'zhi'mei 半乳糖脑苷脂酶
'ban'ru'tang'quan'suan 半乳糖醛酸
'ban'ru'tang'quan'suan'shu'li'ju'tang 半乳糖醛酸鼠李聚糖
'ban'ru'tang'quan'suan'shu'li'tang 半乳糖醛酸鼠李糖
'ban'ru'tang'shen'jing'xian'an'lei 半乳糖神经酰胺类
'ban'ru'tang'shen'jing'xian'an'mei 半乳糖神经酰胺酶
'ban'ru'tang'si'qing'nai'an 半乳糖四氢萘胺
'ban'ru'tang'suan'nei'zhi'yang'hua'mei 半乳糖酸内酯氧化酶
'ban'ru'tang'tuo'qing'mei'lei 半乳糖脱氢酶类
'ban'ru'tang'xian'xin'tang'bai'dan'bai 半乳糖酰新糖白蛋白
'ban'ru'tang'xin'tang'yuan'bai'dan'bai 半乳糖新糖原白蛋白
'ban'ru'tang'xing'bai'nei'zhang 半乳糖性白内障
'ban'ru'tang'xue'zheng 半乳糖血症
'ban'ru'tang'yang'hua'mei 半乳糖氧化酶
'ban'ru'tang'zhuan'yi'mei'tong'gong'mei 半乳糖转移酶同工酶
'ban'sai'ya'gang 板鳃亚纲
'ban'se'tai'er 斑色胎儿
'ban'she'qie'chu'shu 半舌切除术
'ban'shen'bu'sui 半身不遂
'ban'shen'bu'sui'pian'tan 半身不遂偏瘫
'ban'shen'fu'she 半身辐射
'ban'shen'shui'zhong 半身水肿
'ban'shen'tou'shi 半渗透室
'ban'shen'zhao'she 半身照射
'ban'sheng'fu'she'fu'huo 伴生辐射俘获
'ban'shi'huan'lu 斑氏环路
'ban'shi'si'chong 班氏丝虫
'ban'shi'si'chong'bing 班氏丝虫病
'ban'shi'xiang'pi'tui 班氏象皮腿
'ban'shu'you'xiao'liang 半数有效量
'ban'shu'zhi'si'ji'liang 半数致死剂量
'ban'shu'zhi'si'liang 半数致死量
'ban'shu'zhi'si'mian'ji 半数致死面积
'ban'shui'he'ci'er'chun 半水合雌二醇
'ban'shui'hua'wu 半水化物
'ban'sui'bing'du 伴随病毒
'ban'sui'fu'bian'hua 伴随负变化
'ban'sui'fu'dian'wei 伴随负电位
'ban'sui'mian'yi 伴随免疫
'ban'sui'xing'fu'dian'wei'bian'hua 伴随性负电位变化
'ban'sui'xing'wei'yan 伴随性胃炎
'ban'ti'shi'zong'he'zheng 班替氏综合征
'ban'tian'dong'an'suan'quan'tuo'qing'mei 半天冬氨酸醛脱氢酶
'ban'tiao'zhuang 斑条状
'ban'tie'shi'yan 斑贴试验
'ban'tie'shi'yan'zhi'min'yuan 斑贴试验致敏原
'ban'tong'bao'hun'pei 半同胞婚配
'ban'tou'guo'xing 半透过性
'ban'tou'ming'hong'mo 半透明虹膜
'ban'tu'wan'shui'mi'wan 斑秃丸水蜜丸
'ban'wei'liang'fen'xi 半微量分析
'ban'xia'bai'mu'tian'ma'tang 半夏白木天麻汤
'ban'xia'bai'zhu'tian'ma'tang 半夏白术天麻汤
'ban'xia'can'cao'da'zao'jiang 半夏参草大枣姜
'ban'xia'hou'po'tang 半夏厚朴汤
'ban'xia'hou'pu'tan'qi'shu 半夏厚朴痰气疏
'ban'xia'lu'chong'ji 半夏露冲剂
'ban'xia'lu'ke'li 半夏露颗粒
'ban'xia'lu'tang'jiang 半夏露糖浆
'ban'xia'qu 半夏曲
'ban'xia'ren'shen'gan'cao'cong 半夏人参甘草从
'ban'xia'ren'shen'ju'fu'ling 半夏人参橘茯苓
'ban'xia'tang'jiang 半夏糖浆
'ban'xia'tian'ma 半夏天麻
'ban'xia'tian'ma'wan 半夏天麻丸
'ban'xia'xie'xin'huang'lian'qin 半夏泻心黄连芩
'ban'xia'xie'xin'tang 半夏泻心汤
'ban'xia'zhi'ke 半夏止咳
'ban'xia'zhi'ke'ke'li 半夏止咳颗粒
'ban'xia'zhi'ke'tang'jiang 半夏止咳糖浆
'ban'xiao'shi'hou'ke'yi'chi'dong'xi 半小时后可以吃东西
'ban'xing'fa'han 伴性发汗
'ban'xing'ji'yin 伴性基因
'ban'xing'xing'zhuang 伴性性状
'ban'xing'yi'chuan 伴性遗传
'ban'xiu'fu'shu 瓣修复术
'ban'ya'qie'chu'shu 半牙切除术
'ban'yan'suan'tou'bao'jia'wo 半盐酸头孢甲肟
'ban'you'bing'zheng 斑釉病症
'ban'you'wei'xiang 伴有危象
'ban'you'xue'guan'que'xian 伴有血管缺陷
'ban'yuan'xing'she'pu'yi 半圆形摄谱仪
'ban'yue'ban'fei'hou 半月板肥厚
'ban'yue'ban'gai'hua 半月板钙化
'ban'yue'ban'ji'huan 半月板疾患
'ban'yue'ban'jing'gu 半月板胫骨
'ban'yue'ban'nang'zhong 半月板囊肿
'ban'yue'ban'qie'chu'shu 半月扳切除术
'ban'yue'ban'qie'chu'shu 半月板切除术
